Time,Task,
8:00,Get up,
8:30,Breakfast Time,
9:00,Study Time,
14:00,Lunch Time,
15:00,Job Seeking,
20:00,Dinner Time,
21:00/21:30,Review/Study,
0:00,Daily Assessment then Sleep,
,,
Date,Content,Progress
10/9,Mastering Data Analysis in Excel,Week1 & 2
10/10,Mastering Data Analysis in Excel,Week3 & 4
10/11,Mastering Data Analysis in Excel,Week5 & 6
10/11,Excel,Summarize all excel functions 
10/12,R (Data Hygiene & Analysis Methods),Review & Summarize  
10/13,Python (Data Hygiene & Analysis Methods),Review & Summarize  